@relation jswars
@attribute prevenX numeric
@attribute prevenY numeric
@attribute prevbulX numeric
@attribute prevbulY numeric
@attribute action {atacar,esquivar,avanzar, atacarAvanzar,atacarEsquivar}
@attribute enX numeric
@attribute enY numeric
@attribute bulX numeric
@attribute bulY numeric
@attribute rec numeric
@data
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
8000,8000,8000,8000,avanzar,8000,8000,8000,8000,0
